RegionName,Date,RentPrice
10001,2015-01-31,3807.657462139843
10001,2015-02-28,3851.09868378315
10001,2015-03-31,3844.71669060332
10001,2015-04-30,3906.689196181532
10001,2015-05-31,3960.6898699982416
10001,2015-06-30,4003.020085479037
10001,2015-07-31,4015.4279010032633
10001,2015-08-31,4028.970189492985
10001,2015-09-30,3998.282101682428
10001,2015-10-31,3964.589007796813
10001,2015-11-30,3920.429722922375
10001,2015-12-31,3906.8156175982185
10001,2016-01-31,3876.874860107528
10001,2016-02-29,3861.5682910578967
10001,2016-03-31,3884.928762939169
10001,2016-04-30,3928.524183813816
10001,2016-05-31,3975.323811341768
10001,2016-06-30,3972.565415710993
10001,2016-07-31,4002.677554832017
10001,2016-08-31,4010.624910419056
10001,2016-09-30,4022.7318170271064
10001,2016-10-31,3973.7553651971666
10001,2016-11-30,3932.822333640271
10001,2016-12-31,3867.351716938864
10001,2017-01-31,3863.954232986642
10001,2017-02-28,3810.642366044157
10001,2017-03-31,3818.8528664223986
10001,2017-04-30,3828.75971504274
10001,2017-05-31,3889.739927256998
10001,2017-06-30,3925.5396107766583
10001,2017-07-31,3945.567519327095
10001,2017-08-31,3949.3551056649967
10001,2017-09-30,3932.495009801653
10001,2017-10-31,3911.990614297751
10001,2017-11-30,3832.612679711782
10001,2017-12-31,3780.859442584227
10001,2018-01-31,3720.742266087808
10001,2018-02-28,3742.136366678923
10001,2018-03-31,3803.845555838916
10001,2018-04-30,3871.480073618112
10001,2018-05-31,3955.865883579608
10001,2018-06-30,4000.236687215584
10001,2018-07-31,4022.536199400249
10001,2018-08-31,4038.920776458157
10001,2018-09-30,4015.1360620218743
10001,2018-10-31,4013.1962024824
10001,2018-11-30,3969.4008159538193
10001,2018-12-31,3951.6187909557384
10001,2019-01-31,3922.073907969136
10001,2019-02-28,3924.023348654021
10001,2019-03-31,3941.5892223527303
10001,2019-04-30,3990.0529150141656
10001,2019-05-31,4050.3357052592382
10001,2019-06-30,4110.495174144346
10001,2019-07-31,4134.68907673613
10001,2019-08-31,4191.173132471467
10001,2019-09-30,4188.520533999847
10001,2019-10-31,4167.080120535345
10001,2019-11-30,4119.850170595757
10001,2019-12-31,4048.361014205246
10001,2020-01-31,4047.104469552123
10001,2020-02-29,4037.39216067964
10001,2020-03-31,4079.045020806904
10001,2020-04-30,4052.372826775848
10001,2020-05-31,4006.154830388891
10001,2020-06-30,3930.538159010356
10001,2020-07-31,3792.191072352565
10001,2020-08-31,3630.105801811272
10001,2020-09-30,3467.5038183799647
10001,2020-10-31,3392.818321237243
10001,2020-11-30,3333.8545152843635
10001,2020-12-31,3326.9043927375974
10001,2021-01-31,3334.3615891602203
10001,2021-02-28,3366.195536759721
10001,2021-03-31,3418.912790634304
10001,2021-04-30,3532.5043375109535
10001,2021-05-31,3695.378375252421
10001,2021-06-30,3893.401404535507
10001,2021-07-31,4106.248875734117
10001,2021-08-31,4274.5343943827575
10001,2021-09-30,4438.055927094738
10001,2021-10-31,4470.595511046809
10001,2021-11-30,4500.592911514411
10001,2021-12-31,4485.308714282812
10001,2022-01-31,4491.081751552874
10001,2022-02-28,4576.294925754645
10001,2022-03-31,4599.710010505961
10001,2022-04-30,4653.65284979685
10001,2022-05-31,4683.9045026290505
10001,2022-06-30,4811.283472996787
10001,2022-07-31,4921.967762165349
10001,2022-08-31,4976.095225777297
10001,2022-09-30,4946.3761398047645
10001,2022-10-31,4878.935954733221
10001,2022-11-30,4757.402434537833
10001,2022-12-31,4640.248761136122
10001,2023-01-31,4577.862095630922
10001,2023-02-28,4616.969282244658
10001,2023-03-31,4666.011930919243
10001,2023-04-30,4766.82233345261
10001,2023-05-31,4816.4844020879655
10001,2023-06-30,4916.708760271865
10001,2023-07-31,5001.842003681067
10001,2023-08-31,5070.164148050854
10001,2023-09-30,5055.305341344815
10002,2015-01-31,3069.762044739202
10002,2015-02-28,3054.4758457618664
10002,2015-03-31,3028.4729117976235
10002,2015-04-30,3075.2367229482284
10002,2015-05-31,3103.568918338366
10002,2015-06-30,3153.4103828912225
10002,2015-07-31,3159.945714533047
10002,2015-08-31,3176.5912745707506
10002,2015-09-30,3163.1757764133818
10002,2015-10-31,3130.145001956996
